customer_id,company_size,subscription_plan,months_active,monthly_revenue,days_since_last_login,monthly_logins,features_used,support_tickets,satisfaction_score,payment_failures,churned
CUST_00001,Small,Enterprise,10,299,4,6,2,2,3.4,0,False
CUST_00002,Medium,Basic,2,29,4,5,1,1,2.6,0,True
CUST_00003,Small,Pro,1,99,0,5,6,1,3.5,1,False
CUST_00004,Small,Basic,6,29,1,7,3,0,4.9,0,True
CUST_00005,Small,Basic,2,29,8,3,1,1,4.6,0,True
CUST_00006,Small,Basic,1,29,9,13,2,0,3.8,0,True
CUST_00007,Large,Basic,1,29,6,9,9,1,4.1,0,False
CUST_00008,Large,Basic,4,29,7,6,2,4,3.6,0,False
CUST_00009,Medium,Pro,18,99,1,6,2,1,1.3,0,True
CUST_00010,Small,Enterprise,3,299,3,9,4,0,3.9,0,False
CUST_00011,Small,Basic,7,29,3,7,4,1,5.0,0,False
CUST_00012,Small,Pro,8,99,3,12,2,0,4.9,0,False
CUST_00013,Small,Basic,2,29,5,10,1,0,3.2,1,True
CUST_00014,Medium,Pro,6,99,3,6,4,0,4.8,0,False
CUST_00015,Large,Pro,8,99,0,9,1,2,4.7,0,True
CUST_00016,Medium,Pro,15,99,5,4,2,0,3.2,1,False
CUST_00017,Medium,Pro,5,99,4,2,3,0,2.9,3,True
CUST_00018,Large,Basic,27,29,16,10,1,0,2.5,0,True
CUST_00019,Large,Pro,6,99,0,8,1,2,4.9,0,False
CUST_00020,Large,Basic,5,29,8,5,6,0,4.7,0,True
CUST_00021,Medium,Basic,5,29,3,11,1,1,4.1,0,True
CUST_00022,Medium,Basic,1,29,3,3,8,1,4.8,0,True
CUST_00023,Small,Basic,1,29,16,10,6,0,4.3,0,True
CUST_00024,Small,Enterprise,10,299,4,2,1,1,3.5,0,True
CUST_00025,Small,Pro,9,99,3,7,1,1,5.0,0,True
CUST_00026,Medium,Basic,15,29,5,16,3,2,3.4,0,False
CUST_00027,Small,Basic,22,29,2,9,1,1,3.4,0,False
CUST_00028,Medium,Pro,10,99,8,12,4,2,3.3,0,False
CUST_00029,Large,Pro,4,99,6,6,4,1,3.8,0,False
CUST_00030,Small,Basic,23,29,15,12,1,0,5.0,0,False
CUST_00031,Medium,Pro,1,99,3,8,1,0,4.6,0,True
CUST_00032,Medium,Basic,13,29,6,16,1,3,2.6,0,False
CUST_00033,Medium,Basic,18,29,0,6,3,0,4.3,0,False
CUST_00034,Large,Basic,2,29,10,4,3,0,5.0,0,False
CUST_00035,Medium,Pro,9,99,3,15,10,0,5.0,0,False
CUST_00036,Small,Basic,7,29,0,4,1,1,4.4,1,False
CUST_00037,Medium,Pro,4,99,13,7,2,0,2.3,1,False
CUST_00038,Small,Basic,2,29,0,16,3,2,4.0,0,True
CUST_00039,Large,Pro,2,99,5,2,7,2,4.2,0,False
CUST_00040,Small,Basic,1,29,7,15,1,0,4.7,0,True
CUST_00041,Small,Basic,18,29,2,17,3,2,4.0,0,False
CUST_00042,Large,Basic,3,29,5,12,4,0,3.1,1,False
CUST_00043,Small,Basic,1,29,0,4,2,1,4.1,0,True
